Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"CIAR2",,"Cinna arundinacea L.",sweet woodreed
"CILA2",,"Cinna latifolia (Trevis. ex Goepp.) Griseb.",drooping woodreed
"CIIN4",,"Circaea ×intermedia Ehrh. (pro sp.) [alpina × lutetiana]",enchanter's nightshade
"CIAL",,"Circaea alpina L.",small enchanter's nightshade
"CIALA",,"Circaea alpina L. ssp. alpina ",small enchanter's nightshade
"CILU",,"Circaea lutetiana L.",broadleaf enchanter's nightshade
"CILUC",,"Circaea lutetiana L. ssp. canadensis (L.) Asch. & Magnus",broadleaf enchanter's nightshade
"CIAR4",,"Cirsium arvense (L.) Scop.",Canada thistle
"CIDI",,"Cirsium discolor (Muhl. ex Willd.) Spreng.",field thistle
"CIDR2",,"Cirsium drummondii Torr. & A. Gray",dwarf thistle
"CIFL",,"Cirsium flodmanii (Rydb.) Arthur",Flodman's thistle
"CIHI",,"Cirsium hillii (Canby) Fernald",Hill's thistle
"CIMU",,"Cirsium muticum Michx.",swamp thistle
"CIPA6",,"Cirsium palustre (L.) Scop.",marsh thistle
"CIPI",,"Cirsium pitcheri (Torr. ex Eaton) Torr. & A. Gray",sand dune thistle
"CIVU",,"Cirsium vulgare (Savi) Ten.",bull thistle
"CLMA",,"Cladium mariscoides (Muhl.) Torr.",smooth sawgrass
"CLCR2",,"Cladonia cristatella Tuck.",British soldier lichen
"CLKE",,"Cladrastis kentukea (Dum. Cours.) Rudd",Kentucky yellowwood
"CLCA",,"Claytonia caroliniana Michx.",Carolina springbeauty
"CLCAC",,"Claytonia caroliniana Michx. var. caroliniana ",Carolina springbeauty
"CLVI3",,"Claytonia virginica L.",Virginia springbeauty
"CLVIV",,"Claytonia virginica L. var. virginica ",Virginia springbeauty
"CLVIV2",,"Claytonia virginica L. var. virginica f. virginica ",Virginia springbeauty
"CLCA17",,"Clematis campaniflora Brot.",bellflower clematis
"CLIN6",,"Clematis integrifolia L.",solitary clematis
"CLOC2",,"Clematis occidentalis (Hornem.) DC.",western blue virginsbower
"CLOCO",,"Clematis occidentalis (Hornem.) DC. var. occidentalis ",western blue virginsbower
"CLOR",,"Clematis orientalis L.",Oriental virginsbower
"CLRE2",,"Clematis recta L.",ground virginsbower
"CLTE4",,"Clematis terniflora DC.",sweet autumn virginsbower
"CLVI4",,"Clematis viorna L.",vasevine
"CLVI5",,"Clematis virginiana L.",devil's darning needles
"CLVI6",,"Clematis vitalba L.",evergreen clematis
"CLVI7",,"Clematis viticella L.",Italian leather flower
"CLHA",,"Cleome hassleriana Chod.",pink queen
"CLSE",,"Cleome serrulata Pursh",Rocky Mountain beeplant
"CLAR5",,"Clinopodium arkansanum (Nutt.) House",limestone calamint
"CLGL4",,"Clinopodium glabellum (Michx.) Kuntze",Ozark calamint
"CLVU",,"Clinopodium vulgare L.",wild basil
"CLBO3",,"Clintonia borealis (Aiton) Raf.",bluebead
"CNBE",,"Cnicus benedictus L.",blessed thistle
"COGR6",,"Cochlearia groenlandica L.",Danish scurvygrass
"COPA3",,"Collinsia parviflora Lindl.",maiden blue eyed Mary
"COVE2",,"Collinsia verna Nutt.",spring blue eyed Mary
"COCA4",,"Collinsonia canadensis L.",richweed
"COLI2",,"Collomia linearis Nutt.",tiny trumpet
"COAR6",,"Colutea arborescens L.",bladder senna
"COUM",,"Comandra umbellata (L.) Nutt.",bastard toadflax
"COUMU",,"Comandra umbellata (L.) Nutt. ssp. umbellata ",bastard toadflax
"COPA28",,"Comarum palustre L.",purple marshlocks
"COCO3",,"Commelina communis L.",Asiatic dayflower
"COPE80",,"Comptonia peregrina (L.) J.M. Coult.",sweet fern
"COCH2",,"Conioselinum chinense (L.) Britton, Sterns & Poggenb.",eastern hemlockparsley
"COMA2",,"Conium maculatum L.",poison hemlock
"COCO13",,"Conoclinium coelestinum (L.) DC.",blue mistflower
"COAM",,"Conopholis americana (L.) Wallr.",American cancer-root
"COOR",,"Conringia orientalis (L.) Dumort.",hare's ear mustard
"COAJ",,"Consolida ajacis (L.) Schur",doubtful knight's-spur
"CORE2",,"Consolida regalis Gray",royal knight's-spur
"COMA7",,"Convallaria majalis L.",European lily of the valley
"COAR4",,"Convolvulus arvensis L.",field bindweed
"COCA5",,"Conyza canadensis (L.) Cronquist",Canadian horseweed
"COCAC3",,"Conyza canadensis (L.) Cronquist var. canadensis ",Canadian horseweed
"CORA4",,"Conyza ramosissima Cronquist",dwarf horseweed
"COTR2",,"Coptis trifolia (L.) Salisb.",threeleaf goldthread
"COMA25",,"Corallorhiza maculata (Raf.) Raf.",summer coralroot
"COMAM7",,"Corallorhiza maculata (Raf.) Raf. var. maculata ",summer coralroot
"COMAO5",,"Corallorhiza maculata (Raf.) Raf. var. occidentalis (Lindl.) Ames",summer coralroot
"COOD7",,"Corallorhiza odontorhiza (Willd.) Poir.",autumn coralroot
"COODO2",,"Corallorhiza odontorhiza (Willd.) Poir. var. odontorhiza ",autumn coralroot
"COODP2",,"Corallorhiza odontorhiza (Willd.) Poir. var. pringlei (Greenm.) Freudenstein",autumn coralroot
"COST19",,"Corallorhiza striata Lindl.",hooded coralroot
"COSTS3",,"Corallorhiza striata Lindl. var. striata ",hooded coralroot
"COTR18",,"Corallorhiza trifida Chatelain",yellow coralroot
"COGR5",,"Coreopsis grandiflora Hogg ex Sweet",largeflower tickseed
"COGRH",,"Coreopsis grandiflora Hogg ex Sweet var. harveyana (A. Gray) Sherff",largeflower tickseed
"COLA5",,"Coreopsis lanceolata L.",lanceleaf tickseed
"COTI3",,"Coreopsis tinctoria Nutt.",golden tickseed
"COTIT",,"Coreopsis tinctoria Nutt. var. tinctoria ",golden tickseed
"COTR4",,"Coreopsis tripteris L.",tall tickseed
"COVE5",,"Coreopsis verticillata L.",whorled tickseed
"COSA",,"Coriandrum sativum L.",coriander
"COAM8",,"Corispermum americanum (Nutt.) Nutt.",American bugseed
"COAMA2",,"Corispermum americanum (Nutt.) Nutt. var. americanum ",American bugseed
"COHO3",,"Corispermum hookeri Mosyakin",Hooker bugseed
"COHOH2",,"Corispermum hookeri Mosyakin var. hookeri ",Hooker bugseed
"COPA38",,"Corispermum pallasii Steven",Siberian bugseed
"COVI5",,"Corispermum villosum Rydb.",hairy bugseed
"COSL",,"Cornus ×slavinii Rehder [rugosa × sericea]",dogwood
"COAL2",,"Cornus alternifolia L. f.",alternateleaf dogwood
"COCA13",,"Cornus canadensis L.",bunchberry dogwood
"CODR",,"Cornus drummondii C.A. Mey.",roughleaf dogwood
"COFL2",,"Cornus florida L.",flowering dogwood
"COOB9",,"Cornus obliqua Raf.",silky dogwood
"CORA6",,"Cornus racemosa Lam.",gray dogwood
"CORU",,"Cornus rugosa Lam.",roundleaf dogwood
"COSE16",,"Cornus sericea L.",redosier dogwood
"COSES",,"Cornus sericea L. ssp. sericea ",redosier dogwood
"CODI6",,"Coronopus didymus (L.) Sm.",lesser swinecress
"COSQ",,"Coronopus squamatus (Forssk.) Asch.",greater swinecress
"COAU2",,"Corydalis aurea Willd.",scrambled eggs
"COFL3",,"Corydalis flavula (Raf.) DC.",yellow fumewort
"COSE5",,"Corydalis sempervirens (L.) Pers.",rock harlequin
"COSO6",,"Corydalis solida (L.) Clairv.",spring fumewort
"COAM3",,"Corylus americana Walter",American hazelnut
"COCO6",,"Corylus cornuta Marshall",beaked hazelnut
"COCOC2",,"Corylus cornuta Marshall var. cornuta ",beaked hazelnut
"COBI2",,"Cosmos bipinnatus Cav.",garden cosmos
"COCO10",,"Cotinus coggygria Scop.",European smoketree
"COAC2",,"Cotoneaster acutifolius Turcz.",Peking cotoneaster
"COHO80",,"Cotoneaster horizontalis Decne.",rockspray cotoneaster
"CRAQ",,"Crassula aquatica (L.) Schoenl.",water pygmyweed
"CRHA3",,"Crataegus ×haemacarpa Ashe (pro sp.) [flabellata × pruinosa]",hawthorn
"CRME14",,"Crataegus ×media Bechst. [laevigata × monogyna]",hybrid hawthorn
"CRNI8",,"Crataegus ×ninae-celottiae K.I. Chr. & T.A. Dickinson [monogyna × punctata]",Celotti's hawthorn
"CRAP4",,"Crataegus apiomorpha Sarg.",Fort Sheridan hawthorn
"CRAT3",,"Crataegus ater Ashe",Nashville hawthorn
"CRBE6",,"Crataegus beata Sarg.",Dunbar's hawthorn
"CRBR3",,"Crataegus brainerdii Sarg.",Brainerd's hawthorn
"CRCA",,"Crataegus calpodendron (Ehrh.) Medik.",pear hawthorn
"CRCH",,"Crataegus chrysocarpa Ashe",fireberry hawthorn
"CRCHC2",,"Crataegus chrysocarpa Ashe var. chrysocarpa ",red haw
"CRCO2",,"Crataegus coccinioides Ashe",Kansas hawthorn
"CRCO26",,"Crataegus compacta Sarg.",clustered hawthorn
"CRCO7",,"Crataegus compta Sarg.",adorned hawthorn
"CRCO27",,"Crataegus corusca Sarg.",shiningbranch hawthorn
"CRCR2",,"Crataegus crus-galli L.",cockspur hawthorn
"CRDI",,"Crataegus dilatata Sarg.",broadleaf hawthorn
"CRDI4",,"Crataegus disperma Ashe",spreading hawthorn
"CRDI10",,"Crataegus dissona Sarg.",northern hawthorn
"CRDO3",,"Crataegus dodgei Ashe",Dodge's hawthorn
"CRDO2",,"Crataegus douglasii Lindl.",black hawthorn
"CRFL",,"Crataegus flabellata (Bosc ex Spach) K. Koch",fanleaf hawthorn
"CRFU2",,"Crataegus fulleriana Sarg.",Fuller's hawthorn
"CRGR13",,"Crataegus grandis Ashe",grand hawthorn
"CRHO5",,"Crataegus holmesiana Ashe",Holmes' hawthorn
"CRIN3",,"Crataegus intricata Lange",Copenhagen hawthorn
"CRIR",,"Crataegus iracunda Beadle",stolonbearing hawthorn
"CRIR2",,"Crataegus irrasa Sarg.",Blanchard's hawthorn
"CRJO3",,"Crataegus jonesiae Sarg.",Miss Jones' hawthorn
"CRKI",,"Crataegus kingstonensis Sarg.",Kingston's hawthorn
"CRLA80",,"Crataegus laevigata (Poir.) DC.",smooth hawthorn
"CRLU3",,"Crataegus lumaria Ashe",roundleaf hawthorn
"CRMA3",,"Crataegus macrosperma Ashe",bigfruit hawthorn
"CRMA4",,"Crataegus margarettiae Ashe",Margarett's hawthorn
"CRMO2",,"Crataegus mollis Scheele",downy hawthorn
"CRMO3",,"Crataegus monogyna Jacq.",oneseed hawthorn
"CRNI4",,"Crataegus nitidula Sarg.",Ontario hawthorn
"CRPE",,"Crataegus pedicellata Sarg.",scarlet hawthorn
"CRPE7",,"Crataegus perjucunda Sarg.",pearthorn
"CRPE6",,"Crataegus persimilis Sarg.",plumleaf hawthorn
"CRPH",,"Crataegus phaenopyrum (L. f.) Medik.",Washington hawthorn
"CRPR",,"Crataegus pringlei Sarg.",Pringle's hawthorn
"CRPR2",,"Crataegus pruinosa (Wendl. f.) K. Koch",waxyfruit hawthorn
"CRPU",,"Crataegus punctata Jacq.",dotted hawthorn
"CRSC80",,"Crataegus scabrida Sarg.",rough hawthorn
"CRSC4",,"Crataegus schuettei Ashe",Schuette's hawthorn
"CRSU2",,"Crataegus submollis Sarg.",Quebec hawthorn
"CRSU3",,"Crataegus suborbiculata Sarg.",Caughuawaga hawthorn
"CRSU5",,"Crataegus succulenta Schrad. ex Link",fleshy hawthorn
"CRCA3",,"Crepis capillaris (L.) Wallr.",smooth hawksbeard
"CRPU3",,"Crepis pulchra L.",smallflower hawksbeard
"CRTE3",,"Crepis tectorum L.",narrowleaf hawksbeard
"CRVE4",,"Crocus vernus (L.) Hill",dutch crocus
"CRCA6",,"Croton capitatus Michx.",hogwort
"CRCAC2",,"Croton capitatus Michx. var. capitatus ",hogwort
"CRSC",,"Crypsis schoenoides (L.) Lam.",swamp pricklegrass
"CRAC3",,"Cryptogramma acrostichoides R. Br.",American rockbrake
"CRST2",,"Cryptogramma stelleri (S.G. Gmel.) Prantl",fragile rockbrake
"CRCA9",,"Cryptotaenia canadensis (L.) DC.",Canadian honewort
"CUME",,"Cucumis melo L.",cantaloupe
"CUSA4",,"Cucumis sativus L.",garden cucumber
"CUPE",,"Cucurbita pepo L.",field pumpkin
"CUPEP",,"Cucurbita pepo L. var. pepo ",field pumpkin
"CUVI",,"Cuphea viscosissima Jacq.",blue waxweed
"CUCE",,"Cuscuta cephalanthi Engelm.",buttonbush dodder
"CUCO3",,"Cuscuta coryli Engelm.",hazel dodder
"CUEP2",,"Cuscuta epilinum Weihe",flax dodder
"CUEP",,"Cuscuta epithymum (L.) L.",clover dodder
"CUGR",,"Cuscuta gronovii Willd. ex Schult.",scaldweed
"CUGRG",,"Cuscuta gronovii Willd. ex Schult. var. gronovii ",scaldweed
"CUPE3",,"Cuscuta pentagona Engelm.",fiveangled dodder
"CUPEP2",,"Cuscuta pentagona Engelm. var. pentagona ",fiveangled dodder
"CUPO",,"Cuscuta polygonorum Engelm.",smartweed dodder
"CYXA2",,"Cyclachaena xanthiifolia (Nutt.) Fresen.",carelessweed
"CYAT",,"Cycloloma atriplicifolium (Spreng.) J.M. Coult.",winged pigweed
"CYOB2",,"Cydonia oblonga Mill.",quince
"CYMU",,"Cymbalaria muralis G. Gaertn., B. Mey. & Scherb.",Kenilworth ivy
"CYLA",,"Cynanchum laeve (Michx.) Pers.",honeyvine
"CYLO11",,"Cynanchum louiseae Kartesz & Gandhi",Louise's swallow-wort
"CYRO8",,"Cynanchum rossicum (Kleopow) Borhidi",European swallow-wort
"CYVI3",,"Cynanchum vincetoxicum (L.) Pers.",white swallow-wort
"CYOF",,"Cynoglossum officinale L.",gypsyflower
"CYVI",,"Cynoglossum virginianum L.",wild comfrey
"CYVIB",,"Cynoglossum virginianum L. var. boreale (Fernald) Cooperr.",wild comfrey
"CYCR",,"Cynosurus cristatus L.",crested dogstail grass
"CYBI6",,"Cyperus bipartitus Torr.",slender flatsedge
"CYDE2",,"Cyperus dentatus Torr.",toothed flatsedge
"CYDI3",,"Cyperus diandrus Torr.",umbrella flatsedge
"CYER2",,"Cyperus erythrorhizos Muhl.",redroot flatsedge
"CYES",,"Cyperus esculentus L.",yellow nutsedge
"CYESL",,"Cyperus esculentus L. var. leptostachyus Boeckeler",yellow nutsedge
"CYFL",,"Cyperus flavescens L.",yellow flatsedge
"CYFU3",,"Cyperus fuscus L.",brown flatsedge
"CYHO",,"Cyperus houghtonii Torr.",Houghton's flatsedge
"CYLU2",,"Cyperus lupulinus (Spreng.) Marcks",Great Plains flatsedge
"CYLUL",,"Cyperus lupulinus (Spreng.) Marcks ssp. lupulinus ",Great Plains flatsedge
"CYLUM",,"Cyperus lupulinus (Spreng.) Marcks ssp. macilentus (Fernald) Marcks",Great Plains flatsedge
"CYOD",,"Cyperus odoratus L.",fragrant flatsedge
"CYSC3",,"Cyperus schweinitzii Torr.",Schweinitz's flatsedge
"CYSQ",,"Cyperus squarrosus L.",bearded flatsedge
"CYST",,"Cyperus strigosus L.",strawcolored flatsedge
"CYAN2",,"Cypripedium ×andrewsii A.M. Fuller [candidum × parviflorum]",hybrid ladyslipper
"CYANA",,"Cypripedium ×andrewsii A.M. Fuller var. ×andrewsii [candidum × parviflorum var. makasin]",hybrid ladyslipper
"CYANF",,"Cypripedium ×andrewsii A.M. Fuller (pro nm.) var. favillianum (J.T. Curtis) B. Boivin (pro nm.) [candidum × parviflorum var. pubescens]",hybrid ladyslipper
"CYANL2",,"Cypripedium ×andrewsii A.M. Fuller (pro nm.) var. landonii (Garay) B. Boivin (pro nm.) [× andrewsii var. favillianum × parviflorum var. parviflorum ]",hybrid ladyslipper
"CYAC3",,"Cypripedium acaule Aiton",moccasin flower
"CYAR5",,"Cypripedium arietinum W.T. Aiton",ram's head lady's slipper
"CYCA5",,"Cypripedium candidum Muhl. ex Willd.",white lady's slipper
"CYPA19",,"Cypripedium parviflorum Salisb.",lesser yellow lady's slipper
"CYPAM3",,"Cypripedium parviflorum Salisb. var. makasin (Farw.) Sheviak",greater yellow lady's slipper
"CYPAP3",,"Cypripedium parviflorum Salisb. var. pubescens (Willd.) Knight",greater yellow lady's slipper
"CYPA5",,"Cypripedium passerinum Richardson",sparrowegg lady's slipper
"CYRE6",,"Cypripedium reginae Walter",showy lady's slipper
"CYBU3",,"Cystopteris bulbifera (L.) Bernh.",bulblet bladderfern
"CYFR2",,"Cystopteris fragilis (L.) Bernh.",brittle bladderfern
"CYLA4",,"Cystopteris laurentiana (Weath.) Blasdell",St. Lawrence bladderfern
"CYMO3",,"Cystopteris montana (Lam.) Bernh. ex Desv.",mountain bladderfern
"CYPR4",,"Cystopteris protrusa (Weath.) Blasdell",lowland bladderfern
"CYTE7",,"Cystopteris tenuis (Michx.) Desv.",upland brittle bladderfern
"DAGL",,"Dactylis glomerata L.",orchardgrass
"DAGLG",,"Dactylis glomerata L. ssp. glomerata ",orchardgrass
"DAMA4",,"Dactylorhiza majalis (Rchb. f.) P.F. Hunt & Summerhayes",keyflower
"DAMAP",,"Dactylorhiza majalis (Rchb. f.) P.F. Hunt & Summerhayes ssp. praetermissa (Druce) D.M. Moore & Soó",keyflower
"DAMAJ",,"Dactylorhiza majalis (Rchb. f.) P.F. Hunt & Summerhayes ssp. praetermissa (Druce) D.M. Moore & Soó var. junialis (Verm.) Senghas",keyflower
"DAVI6",,"Dactylorhiza viridis (L.) R.M. Bateman, A.M. Pridgeon & M.W. Chase",longbract frog orchid
"DACA7",,"Dalea candida Michx. ex Willd.",white prairie clover
"DACAC",,"Dalea candida Michx. ex Willd. var. candida ",white prairie clover
"DAPU5",,"Dalea purpurea Vent.",purple prairie clover
"DAPUP",,"Dalea purpurea Vent. var. purpurea ",purple prairie clover
"DARE",,"Dalibarda repens L.",robin runaway
"DACO",,"Danthonia compressa Austin",flattened oatgrass
"DAIN",,"Danthonia intermedia Vasey",timber oatgrass
"DASP2",,"Danthonia spicata (L.) P. Beauv. ex Roem. & Schult.",poverty oatgrass
"DAME3",,"Daphne mezereum L.",paradise plant
"DAFR6",,"Dasiphora fruticosa (L.) Rydb.",shrubby cinquefoil
"DAFRF",,"Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz",shrubby cinquefoil
"DAIN2",,"Datura inoxia Mill.",pricklyburr
"DAST",,"Datura stramonium L.",jimsonweed
"DACA6",,"Daucus carota L.",Queen Anne's lace
"DEVE",,"Decodon verticillatus (L.) Elliott",swamp loosestrife
"DEPU2",,"Dennstaedtia punctilobula (Michx.) T. Moore",eastern hayscented fern
"DEAC4",,"Deparia acrostichoides (Sw.) M. Kato",silver false spleenwort
"DECE",,"Deschampsia cespitosa (L.) P. Beauv.",tufted hairgrass
"DEFL",,"Deschampsia flexuosa (L.) Trin.",wavy hairgrass
"DEFLF",,"Deschampsia flexuosa (L.) Trin. var. flexuosa ",wavy hairgrass
"DEIN5",,"Descurainia incana (Bernh. ex Fisch. & C.A. Mey.) Dorn",mountain tansymustard
"DEINI",,"Descurainia incana (Bernh. ex Fisch. & C.A. Mey.) Dorn ssp. incana ",mountain tansymustard
"DEPI",,"Descurainia pinnata (Walter) Britton",western tansymustard
"DEPIB",,"Descurainia pinnata (Walter) Britton ssp. brachycarpa (Richardson) Detling",western tansymustard
"DESO2",,"Descurainia sophia (L.) Webb ex Prantl",herb sophia
"DECA7",,"Desmodium canadense (L.) DC.",showy ticktrefoil
"DECA8",,"Desmodium canescens (L.) DC.",hoary ticktrefoil
"DECI",,"Desmodium ciliare (Muhl. ex Willd.) DC.",hairy small-leaf ticktrefoil
"DECIC",,"Desmodium ciliare (Muhl. ex Willd.) DC. var. ciliare ",hairy small-leaf ticktrefoil
"DECU",,"Desmodium cuspidatum (Muhl. ex Willd.) DC. ex D. Don",largebract ticktrefoil
"DECUC",,"Desmodium cuspidatum (Muhl. ex Willd.) DC. ex D. Don var. cuspidatum ",largebract ticktrefoil
"DEGL5",,"Desmodium glutinosum (Muhl. ex Willd.) Alph. Wood",pointedleaf ticktrefoil
"DEIL2",,"Desmodium illinoense A. Gray",Illinois ticktrefoil
"DEMA2",,"Desmodium marilandicum (L.) DC.",smooth small-leaf ticktrefoil
"DENU4",,"Desmodium nudiflorum (L.) DC.",nakedflower ticktrefoil
"DEPA6",,"Desmodium paniculatum (L.) DC.",panicledleaf ticktrefoil
"DEPAP2",,"Desmodium paniculatum (L.) DC. var. paniculatum ",panicledleaf ticktrefoil
"DERO3",,"Desmodium rotundifolium DC.",prostrate ticktrefoil
"DESE",,"Desmodium sessilifolium (Torr.) Torr. & A. Gray",sessileleaf ticktrefoil
"DIAR13",,"Dianthus arenarius L.",sand pink
"DIAR",,"Dianthus armeria L.",Deptford pink
"DIBA",,"Dianthus barbatus L.",sweetwilliam
"DICH3",,"Dianthus chinensis L.",rainbow pink
"DIDE",,"Dianthus deltoides L.",maiden pink
"DIGR7",,"Dianthus gratianopolitanus Vill.",cheddar pink
"DIPL",,"Dianthus plumarius L.",feathered pink
"DIOB3",,"Diarrhena obovata (Gleason) Brandenburg",obovate beakgrain
"DICA",,"Dicentra canadensis (Goldie) Walp.",squirrel corn
"DICU",,"Dicentra cucullaria (L.) Bernh.",dutchman's breeches
"DIAC2",,"Dichanthelium acuminatum (Sw.) Gould & C.A. Clark",tapered rosette grass
"DIACA",,"Dichanthelium acuminatum (Sw.) Gould & C.A. Clark var. acuminatum ",tapered rosette grass
"DIACF",,"Dichanthelium acuminatum (Sw.) Gould & C.A. Clark var. fasciculatum (Torr.) Freckmann",western panicgrass
"DIACL",,"Dichanthelium acuminatum (Sw.) Gould & C.A. Clark var. lindheimeri (Nash) Gould & C.A. Clark",Lindheimer panicgrass
"DIBO",,"Dichanthelium boreale (Nash) Freckmann",northern panicgrass
"DICL",,"Dichanthelium clandestinum (L.) Gould",deertongue
"DIDE4",,"Dichanthelium depauperatum (Muhl.) Gould",starved panicgrass
"DIDI6",,"Dichanthelium dichotomum (L.) Gould",cypress panicgrass
"DIDID",,"Dichanthelium dichotomum (L.) Gould var. dichotomum ",cypress panicgrass
"DILA8",,"Dichanthelium latifolium (L.) Gould & C.A. Clark",broadleaf rosette grass
"DILE2",,"Dichanthelium leibergii (Vasey) Freckmann",Leiberg's panicum
"DILI2",,"Dichanthelium linearifolium (Scribn. ex Nash) Gould",slimleaf panicgrass
"DIOL",,"Dichanthelium oligosanthes (Schult.) Gould",Heller's rosette grass
"DIOLO",,"Dichanthelium oligosanthes (Schult.) Gould var. oligosanthes ",Heller's rosette grass
"DIOLS",,"Dichanthelium oligosanthes (Schult.) Gould var. scribnerianum (Nash) Gould",Scribner's rosette grass
"DISP2",,"Dichanthelium sphaerocarpon (Elliott) Gould",roundseed panicgrass
"DISPS3",,"Dichanthelium sphaerocarpon (Elliott) Gould var. sphaerocarpon ",roundseed panicgrass
"DISP4",,"Dichanthelium spretum (Schult.) Freckmann",Eaton's rosette grass
"DIVI7",,"Dichanthelium villosissimum (Nash) Freckmann",whitehair rosette grass
"DIVIV",,"Dichanthelium villosissimum (Nash) Freckmann var. villosissimum ",whitehair rosette grass
"DIXA",,"Dichanthelium xanthophysum (A. Gray) Freckmann",slender rosette grass
"DILO",,"Diervilla lonicera Mill.",northern bush honeysuckle
"DIGR4",,"Digitalis grandiflora Mill.",yellow foxglove
"DILA3",,"Digitalis lanata Ehrh.",Grecian foxglove
"DIPU",,"Digitalis purpurea L.",purple foxglove
"DIPUP2",,"Digitalis purpurea L. ssp. purpurea ",purple foxglove
"DICO6",,"Digitaria cognata (Schult.) Pilg.",fall witchgrass
"DIIS",,"Digitaria ischaemum (Schreb.) Schreb. ex Muhl.",smooth crabgrass
"DISA",,"Digitaria sanguinalis (L.) Scop.",hairy crabgrass
"DIVI4",,"Dioscorea villosa L.",wild yam
"DIPY",,"Diplazium pycnocarpon (Spreng.) Broun",glade fern
"DIMU2",,"Diplotaxis muralis (L.) DC.",annual wallrocket
"DITE4",,"Diplotaxis tenuifolia (L.) DC.",perennial wallrocket
"DIFU2",,"Dipsacus fullonum L.",Fuller's teasel
"DILA4",,"Dipsacus laciniatus L.",cutleaf teasel
"DIPA9",,"Dirca palustris L.",eastern leatherwood
"DISP",,"Distichlis spicata (L.) Greene",saltgrass
"DOUM2",,"Doellingeria umbellata (Mill.) Nees",parasol whitetop
"DOUMP2",,"Doellingeria umbellata (Mill.) Nees var. pubens (A. Gray) Britton",parasol whitetop
"DOUMU",,"Doellingeria umbellata (Mill.) Nees var. umbellata ",parasol whitetop
"DRAL2",,"Draba alpina L.",alpine draba
"DRAR",,"Draba arabisans Michx.",rock draba
"DRAU",,"Draba aurea Vahl ex Hornem.",golden draba
"DRBR2",,"Draba breweri S. Watson",cushion draba
"DRBRC",,"Draba breweri S. Watson var. cana (Rydb.) Rollins",cushion draba
"DRCI",,"Draba cinerea M.F. Adams",grayleaf draba
"DRGL",,"Draba glabella Pursh",smooth draba
"DRGLG2",,"Draba glabella Pursh var. glabella ",smooth draba
"DRIN",,"Draba incana L.",twisted draba
"DRLA",,"Draba lactea M.F. Adams",milky draba
"DRNE",,"Draba nemorosa L.",woodland draba
"DRNI",,"Draba nivalis Lilj.",yellow arctic draba
"DRNIN2",,"Draba nivalis Lilj. var. nivalis ",yellow arctic draba
"DRNO5",,"Draba norvegica Gunnerus",Norwegian draba
"DRNON2",,"Draba norvegica Gunnerus var. norvegica ",Norwegian draba
"DRRE2",,"Draba reptans (Lam.) Fernald",Carolina draba
"DRVE2",,"Draba verna L.",spring draba
"DRPA2",,"Dracocephalum parviflorum Nutt.",American dragonhead
"DRTH",,"Dracocephalum thymiflorum L.",thymeleaf dragonhead
"DRBE4",,"Drosera ×belezeana E.G. Camus [intermedia × rotundifolia]",sundew
"DRAN",,"Drosera anglica Huds.",English sundew
"DRIN3",,"Drosera intermedia Hayne",spoonleaf sundew
"DRLI",,"Drosera linearis Goldie",slenderleaf sundew
"DRRO",,"Drosera rotundifolia L.",roundleaf sundew
"DRROR",,"Drosera rotundifolia L. var. rotundifolia ",roundleaf sundew
"DRDR",,"Dryas drummondii Richardson ex Hook.",Drummond's mountain-avens
"DRDRD",,"Dryas drummondii Richardson ex Hook. var. drummondii ",Drummond's mountain-avens
"DRIN4",,"Dryas integrifolia Vahl",entireleaf mountain-avens
"DRINI2",,"Dryas integrifolia Vahl ssp. integrifolia ",entireleaf mountain-avens
"DRAL3",,"Dryopteris ×algonquinensis D.M. Britton [fragrans × marginalis]",Algonquin woodfern
"DRBE",,"Dryopteris ×benedictii Wherry [carthusiana × clintoniana]",woodfern
"DRBO2",,"Dryopteris ×boottii (Tuck.) Underw. (pro sp.) [cristata × intermedia]",woodfern
"DRBU",,"Dryopteris ×burgessii B. Boivin [clintoniana × marginalis]",woodfern
"DRDO2",,"Dryopteris ×dowellii (Farw.) Wherry [clintoniana × intermedia]",woodfern
"DRMI6",,"Dryopteris ×mickelii J.H. Peck [goldiana × clintoniana]",woodfern
"DRNE2",,"Dryopteris ×neowherryi W.H. Wagner [goldiana × marginalis]",woodfern
"DRPI2",,"Dryopteris ×pittsfordensis Slosson [carthusiana × marginalis]",Pittsford woodfern
"DRSL",,"Dryopteris ×slossoniae Wherry ex Lellinger [cristata × marginalis]",woodfern
"DRTR",,"Dryopteris ×triploidea Wherry [carthusiana × intermedia]",woodfern
"DRUL2",,"Dryopteris ×uliginosa (A. Braun ex Dowell) Druce [carthusiana × cristata]",woodfern
"DRCA11",,"Dryopteris carthusiana (Vill.) H.P. Fuchs",spinulose woodfern
"DRCL",,"Dryopteris clintoniana (D.C. Eaton) Dowell",Clinton's woodfern
"DRCR4",,"Dryopteris cristata (L.) A. Gray",crested woodfern
"DREX2",,"Dryopteris expansa (C. Presl) Fraser-Jenkins & Jermy",spreading woodfern
"DRFI2",,"Dryopteris filix-mas (L.) Schott",male fern
"DRGO3",,"Dryopteris goldieana (Hook. ex Goldie) A. Gray",Goldie's woodfern
