# Title: December 2024 Contiguous U.S. County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
GA-233,Polk County,Georgia,44.2,1.9,83,42.3
GA-235,Pulaski County,Georgia,50,1.8,83,48.2
GA-237,Putnam County,Georgia,47,1.9,86,45.1
GA-239,Quitman County,Georgia,49.7,0.9,77,48.8
GA-241,Rabun County,Georgia,42,2.1,89,39.9
GA-243,Randolph County,Georgia,50.2,1.4,82,48.8
GA-245,Richmond County,Georgia,48.6,1.8,86,46.8
GA-247,Rockdale County,Georgia,46.3,2.7,94,43.6
GA-249,Schley County,Georgia,49.2,1.8,83,47.4
GA-251,Screven County,Georgia,49.9,1.8,84,48.1
GA-253,Seminole County,Georgia,52.8,1.3,81,51.5
GA-255,Spalding County,Georgia,47.1,2.2,87,44.9
GA-257,Stephens County,Georgia,44.6,1.6,83,43
GA-259,Stewart County,Georgia,49.6,1.6,83,48.1
GA-261,Sumter County,Georgia,50.1,2,85,48.1
GA-263,Talbot County,Georgia,48.2,2.1,89,46.1
GA-265,Taliaferro County,Georgia,47,2.3,89,44.7
GA-267,Tattnall County,Georgia,51.6,1.2,81,50.4
GA-269,Taylor County,Georgia,48.1,1.5,83,46.6
GA-271,Telfair County,Georgia,51.2,1.9,85,49.3
GA-273,Terrell County,Georgia,51,2.1,86,48.9
GA-275,Thomas County,Georgia,53,1.4,79,51.6
GA-277,Tift County,Georgia,51.4,1.5,80,49.9
GA-279,Toombs County,Georgia,51,1.3,81,49.7
GA-281,Towns County,Georgia,41.2,2.3,88,38.9
GA-283,Treutlen County,Georgia,50.4,1.6,84,48.8
GA-285,Troup County,Georgia,47.5,3,94,44.5
GA-287,Turner County,Georgia,50.8,1.8,83,49
GA-289,Twiggs County,Georgia,48.6,1.1,82,47.5
GA-291,Union County,Georgia,40.8,1.8,83,39
GA-293,Upson County,Georgia,47.6,1.9,86,45.7
GA-295,Walker County,Georgia,43.4,2.5,91,40.9
GA-297,Walton County,Georgia,46,2.6,95,43.4
GA-299,Ware County,Georgia,53.5,1.7,81,51.8
GA-301,Warren County,Georgia,47.5,2,87,45.5
GA-303,Washington County,Georgia,49,1.9,88,47.1
GA-305,Wayne County,Georgia,52.6,1.3,81,51.3
GA-307,Webster County,Georgia,49.8,1.9,84,47.9
GA-309,Wheeler County,Georgia,50.8,1.6,84,49.2
GA-311,White County,Georgia,43,2.2,89,40.8
GA-313,Whitfield County,Georgia,43.9,2.6,95,41.3
GA-315,Wilcox County,Georgia,50.5,1.8,82,48.7
GA-317,Wilkes County,Georgia,46.5,2.5,90,44
GA-319,Wilkinson County,Georgia,48.9,1.4,84,47.5
GA-321,Worth County,Georgia,51.4,1.8,83,49.6
ID-001,Ada County,Idaho,35.3,4.2,105,31.1
ID-003,Adams County,Idaho,30.3,5.7,122,24.6
ID-005,Bannock County,Idaho,30.7,6.7,124,24
ID-007,Bear Lake County,Idaho,26.2,6.1,120,20.1
ID-009,Benewah County,Idaho,34.5,5.8,126,28.7
ID-011,Bingham County,Idaho,29.2,7,123,22.2
ID-013,Blaine County,Idaho,27.7,6.4,124,21.3
ID-015,Boise County,Idaho,29.9,6,124,23.9
ID-017,Bonner County,Idaho,31.7,6.1,127,25.6
ID-019,Bonneville County,Idaho,28.2,7.4,126,20.8
ID-021,Boundary County,Idaho,30,6.7,128,23.3
ID-023,Butte County,Idaho,26,7.1,126,18.9
ID-025,Camas County,Idaho,28,6.6,125,21.4
ID-027,Canyon County,Idaho,35.2,4.2,109,31
ID-029,Caribou County,Idaho,28.3,6.7,123,21.6
ID-031,Cassia County,Idaho,33.2,7,126,26.2
ID-033,Clark County,Idaho,25.4,7.1,125,18.3
ID-035,Clearwater County,Idaho,32.4,6,124,26.4
ID-037,Custer County,Idaho,26.1,7.4,126,18.7
ID-039,Elmore County,Idaho,32.8,6,124,26.8
ID-041,Franklin County,Idaho,30.3,7.1,125,23.2
ID-043,Fremont County,Idaho,25.6,7.9,126,17.7
ID-045,Gem County,Idaho,33.3,4.8,115,28.5
ID-047,Gooding County,Idaho,34.2,7.5,127,26.7
ID-049,Idaho County,Idaho,30.4,6.2,123,24.2
ID-051,Jefferson County,Idaho,26.6,7.5,124,19.1
ID-053,Jerome County,Idaho,35.1,7.6,128,27.5
ID-055,Kootenai County,Idaho,34.1,6,127,28.1
ID-057,Latah County,Idaho,34.8,5.5,123,29.3
ID-059,Lemhi County,Idaho,27,7.3,124,19.7
ID-061,Lewis County,Idaho,33.9,5.4,123,28.5
ID-063,Lincoln County,Idaho,31.5,7.2,126,24.3
ID-065,Madison County,Idaho,28.4,7.9,127,20.5
ID-067,Minidoka County,Idaho,31.6,7.2,126,24.4
ID-069,Nez Perce County,Idaho,36.3,5.3,123,31
ID-071,Oneida County,Idaho,32.1,7.2,125,24.9
ID-073,Owyhee County,Idaho,34.7,6,125,28.7
ID-075,Payette County,Idaho,34.2,4.6,109,29.6
ID-077,Power County,Idaho,31,6.5,125,24.5
ID-079,Shoshone County,Idaho,32.1,6.6,129,25.5
ID-081,Teton County,Idaho,26.8,8,127,18.8
ID-083,Twin Falls County,Idaho,34,5.9,123,28.1
ID-085,Valley County,Idaho,26.7,6.1,122,20.6
ID-087,Washington County,Idaho,32.1,4.9,114,27.2
IL-001,Adams County,Illinois,34.3,4.6,104,29.7
IL-003,Alexander County,Illinois,41,4.6,110,36.4
IL-005,Bond County,Illinois,37.6,5.1,107,32.5
IL-007,Boone County,Illinois,28.5,4.5,100,24
IL-009,Brown County,Illinois,34.2,4.6,103,29.6
IL-011,Bureau County,Illinois,30.6,5,103,25.6
IL-013,Calhoun County,Illinois,36.5,4.7,108,31.8
IL-015,Carroll County,Illinois,28.7,5,101,23.7
IL-017,Cass County,Illinois,34.1,4.4,102,29.7
IL-019,Champaign County,Illinois,33.4,4.6,102,28.8
IL-021,Christian County,Illinois,35.5,5,106,30.5
IL-023,Clark County,Illinois,36.3,5.1,107,31.2
IL-025,Clay County,Illinois,37.2,4.6,105,32.6
IL-027,Clinton County,Illinois,38.7,5.4,114,33.3
IL-029,Coles County,Illinois,35.2,4.8,103,30.4
IL-031,Cook County,Illinois,31.7,4.7,99,27
IL-033,Crawford County,Illinois,36.7,4.5,105,32.2
IL-035,Cumberland County,Illinois,36.3,5.1,107,31.2
IL-037,DeKalb County,Illinois,29,4.3,97,24.7
IL-039,De Witt County,Illinois,33.1,4.7,103,28.4
IL-041,Douglas County,Illinois,34.6,4.9,104,29.7
IL-043,DuPage County,Illinois,30.5,4.4,99,26.1
IL-045,Edgar County,Illinois,35,4.7,104,30.3
IL-047,Edwards County,Illinois,37.7,3.7,101,34
IL-049,Effingham County,Illinois,36.5,4.9,106,31.6
IL-051,Fayette County,Illinois,36.6,4.6,104,32
IL-053,Ford County,Illinois,32.2,4.5,101,27.7
IL-055,Franklin County,Illinois,38.4,3.9,103,34.5
IL-057,Fulton County,Illinois,33.3,4.9,103,28.4
IL-059,Gallatin County,Illinois,38.6,3.1,93,35.5
IL-061,Greene County,Illinois,36.1,4.6,108,31.5
IL-063,Grundy County,Illinois,31.1,4.7,101,26.4
IL-065,Hamilton County,Illinois,38,3.6,99,34.4
IL-067,Hancock County,Illinois,32.4,3.7,91,28.7
IL-069,Hardin County,Illinois,39.5,3.6,100,35.9
IL-071,Henderson County,Illinois,32,4.7,104,27.3
IL-073,Henry County,Illinois,30.9,5.1,105,25.8
IL-075,Iroquois County,Illinois,32,4.3,98,27.7
IL-077,Jackson County,Illinois,38.7,4,105,34.7
IL-079,Jasper County,Illinois,37.2,5.2,109,32
IL-081,Jefferson County,Illinois,37.8,4,103,33.8
IL-083,Jersey County,Illinois,37.1,4.9,109,32.2
IL-085,Jo Daviess County,Illinois,27.8,4.6,98,23.2
IL-087,Johnson County,Illinois,39.6,4,106,35.6
IL-089,Kane County,Illinois,29.3,4.1,97,25.2
IL-091,Kankakee County,Illinois,31.3,4.1,95,27.2
IL-093,Kendall County,Illinois,30.2,4.1,96,26.1
IL-095,Knox County,Illinois,31.8,5.1,105,26.7
IL-097,Lake County,Illinois,30.5,4.7,102,25.8
IL-099,LaSalle County,Illinois,30.4,4.3,99,26.1
IL-101,Lawrence County,Illinois,36.9,3.7,101,33.2
IL-103,Lee County,Illinois,29.6,5,103,24.6
IL-105,Livingston County,Illinois,31.8,4.8,101,27
IL-107,Logan County,Illinois,33.6,4.6,102,29
IL-109,McDonough County,Illinois,32.2,4.1,97,28.1
IL-111,McHenry County,Illinois,28.4,4.2,98,24.2
IL-113,McLean County,Illinois,32.6,5.1,105,27.5
IL-115,Macon County,Illinois,33.9,4.4,101,29.5
IL-117,Macoupin County,Illinois,36.4,5,109,31.4
IL-119,Madison County,Illinois,38.2,5.2,110,33
IL-121,Marion County,Illinois,37,4.1,104,32.9
IL-123,Marshall County,Illinois,31.8,5,103,26.8
IL-125,Mason County,Illinois,33.9,4.7,103,29.2
IL-127,Massac County,Illinois,41.3,4.8,112,36.5
IL-129,Menard County,Illinois,33.7,4.2,100,29.5
IL-131,Mercer County,Illinois,31.5,5.2,106,26.3
IL-133,Monroe County,Illinois,39.2,4.9,108,34.3
IL-135,Montgomery County,Illinois,36.4,5.1,107,31.3
IL-137,Morgan County,Illinois,34.7,4.7,105,30
IL-139,Moultrie County,Illinois,34.5,4.4,103,30.1
IL-141,Ogle County,Illinois,29,4.9,102,24.1
IL-143,Peoria County,Illinois,33.2,5.8,111,27.4
IL-145,Perry County,Illinois,38.4,4.3,105,34.1
IL-147,Piatt County,Illinois,33.6,4.7,102,28.9
IL-149,Pike County,Illinois,35.1,4.5,104,30.6
IL-151,Pope County,Illinois,39.9,4,105,35.9
IL-153,Pulaski County,Illinois,41,4.5,109,36.5
IL-155,Putnam County,Illinois,31.1,4.4,99,26.7
IL-157,Randolph County,Illinois,38.9,4.6,108,34.3
IL-159,Richland County,Illinois,37.1,4,101,33.1
IL-161,Rock Island County,Illinois,30.9,5.1,104,25.9
IL-163,St. Clair County,Illinois,39.1,5.3,113,33.8
IL-165,Saline County,Illinois,38.5,3.3,95,35.2
IL-167,Sangamon County,Illinois,34.6,4.6,106,30
IL-169,Schuyler County,Illinois,33.3,4.2,99,29.1
IL-171,Scott County,Illinois,35.1,4.5,105,30.6
IL-173,Shelby County,Illinois,35.2,4.4,102,30.8
IL-175,Stark County,Illinois,32,5.7,110,26.3
IL-177,Stephenson County,Illinois,27.6,4.4,98,23.2
IL-179,Tazewell County,Illinois,33.5,5.5,109,28
IL-181,Union County,Illinois,39.2,3.9,104,35.3
IL-183,Vermilion County,Illinois,33.2,4.1,99,29.1
IL-185,Wabash County,Illinois,37.8,3.8,101,34
IL-187,Warren County,Illinois,31.6,4.7,104,26.9
IL-189,Washington County,Illinois,38.4,4.8,107,33.6
IL-191,Wayne County,Illinois,37.6,3.9,102,33.7
IL-193,White County,Illinois,38.2,3.4,94,34.8
IL-195,Whiteside County,Illinois,30,5.2,104,24.8
IL-197,Will County,Illinois,30.8,3.9,94,26.9
IL-199,Williamson County,Illinois,38.6,3.8,105,34.8
IL-201,Winnebago County,Illinois,28.6,4.7,101,23.9
IL-203,Woodford County,Illinois,32.3,5.3,106,27
IN-001,Adams County,Indiana,33,4.6,105,28.4
IN-003,Allen County,Indiana,32.9,4.9,106,28
IN-005,Bartholomew County,Indiana,36.6,4.4,105,32.2
IN-007,Benton County,Indiana,31.9,4.2,99,27.7
IN-009,Blackford County,Indiana,32.7,3.4,96,29.3
IN-011,Boone County,Indiana,33.4,4.6,104,28.8
IN-013,Brown County,Indiana,35.9,4.5,105,31.4
IN-015,Carroll County,Indiana,32.6,4,98,28.6
IN-017,Cass County,Indiana,32,3.8,97,28.2
IN-019,Clark County,Indiana,38.8,4.6,108,34.2
IN-021,Clay County,Indiana,35.6,4.6,102,31
IN-023,Clinton County,Indiana,32.7,4.1,99,28.6
IN-025,Crawford County,Indiana,38.5,4.1,105,34.4
IN-027,Daviess County,Indiana,37.6,4.8,106,32.8
IN-029,Dearborn County,Indiana,37.2,4.6,105,32.6
IN-031,Decatur County,Indiana,36.2,4.4,106,31.8
IN-033,DeKalb County,Indiana,31.7,4.5,102,27.2
IN-035,Delaware County,Indiana,33.4,3.9,97,29.5
IN-037,Dubois County,Indiana,38.4,4.5,106,33.9
IN-039,Elkhart County,Indiana,31.7,4.7,104,27
IN-041,Fayette County,Indiana,34.8,4.3,102,30.5
IN-043,Floyd County,Indiana,39.4,5,111,34.4
IN-045,Fountain County,Indiana,33.1,3.9,97,29.2
IN-047,Franklin County,Indiana,35.7,4.1,102,31.6
IN-049,Fulton County,Indiana,31.3,3.9,96,27.4
IN-051,Gibson County,Indiana,38.7,4.4,106,34.3
IN-053,Grant County,Indiana,32.9,3.7,98,29.2
IN-055,Greene County,Indiana,36.2,4.6,104,31.6
IN-057,Hamilton County,Indiana,33.4,3.8,99,29.6
IN-059,Hancock County,Indiana,34.5,4.3,101,30.2
IN-061,Harrison County,Indiana,39.5,4.8,109,34.7
IN-063,Hendricks County,Indiana,34.4,4.7,104,29.7
IN-065,Henry County,Indiana,33.9,4.4,104,29.5
IN-067,Howard County,Indiana,32.8,4.1,100,28.7
IN-069,Huntington County,Indiana,32.5,3.9,100,28.6
IN-071,Jackson County,Indiana,36.8,4,105,32.8
IN-073,Jasper County,Indiana,31.6,4.2,99,27.4
IN-075,Jay County,Indiana,33,4,100,29
IN-077,Jefferson County,Indiana,37.8,4.5,108,33.3
IN-079,Jennings County,Indiana,37,4.1,105,32.9
IN-081,Johnson County,Indiana,35.7,4.9,108,30.8
IN-083,Knox County,Indiana,37.4,4.2,103,33.2
IN-085,Kosciusko County,Indiana,31.7,4.3,103,27.4
IN-087,LaGrange County,Indiana,31.3,4.4,102,26.9
IN-089,Lake County,Indiana,32.1,4.9,102,27.2
IN-091,LaPorte County,Indiana,32.1,4.8,103,27.3
IN-093,Lawrence County,Indiana,36.9,4.6,105,32.3
IN-095,Madison County,Indiana,33.6,3.9,98,29.7
IN-097,Marion County,Indiana,34.8,4.5,103,30.3
IN-099,Marshall County,Indiana,31.5,4.5,102,27
IN-101,Martin County,Indiana,37.6,5,107,32.6
IN-103,Miami County,Indiana,32.3,3.9,100,28.4
IN-105,Monroe County,Indiana,35.8,4.6,105,31.2
IN-107,Montgomery County,Indiana,33.3,4.5,102,28.8
IN-109,Morgan County,Indiana,35.6,4.8,107,30.8
IN-111,Newton County,Indiana,31.6,4.2,97,27.4
IN-113,Noble County,Indiana,31.8,4.7,105,27.1
IN-115,Ohio County,Indiana,38.1,4.8,109,33.3
IN-117,Orange County,Indiana,38,4.6,107,33.4
IN-119,Owen County,Indiana,35.6,4.6,104,31
IN-121,Parke County,Indiana,33.8,3.7,94,30.1
IN-123,Perry County,Indiana,38.5,3.1,95,35.4
IN-125,Pike County,Indiana,38.3,4.6,106,33.7
IN-127,Porter County,Indiana,32.5,5.2,106,27.3
IN-129,Posey County,Indiana,39,3.7,99,35.3
IN-131,Pulaski County,Indiana,31.1,3.7,96,27.4
IN-133,Putnam County,Indiana,34.1,4.2,100,29.9
IN-135,Randolph County,Indiana,33.2,4.1,100,29.1
IN-137,Ripley County,Indiana,36.5,4.3,104,32.2
IN-139,Rush County,Indiana,35.2,4.6,104,30.6
IN-141,St. Joseph County,Indiana,32,4.9,106,27.1
IN-143,Scott County,Indiana,37.7,4.2,106,33.5
IN-145,Shelby County,Indiana,36.2,5,107,31.2
IN-147,Spencer County,Indiana,39.2,3.7,101,35.5
IN-149,Starke County,Indiana,31.4,4.2,100,27.2
IN-151,Steuben County,Indiana,30.5,4,99,26.5
IN-153,Sullivan County,Indiana,36.4,4.6,103,31.8
IN-155,Switzerland County,Indiana,38.3,4.8,109,33.5
IN-157,Tippecanoe County,Indiana,32.8,4.2,98,28.6
IN-159,Tipton County,Indiana,33,4.1,100,28.9
IN-161,Union County,Indiana,34.9,4.2,103,30.7
IN-163,Vanderburgh County,Indiana,40,4.7,107,35.3
IN-165,Vermillion County,Indiana,34.1,3.9,96,30.2
IN-167,Vigo County,Indiana,36.1,4.9,104,31.2
IN-169,Wabash County,Indiana,32.3,3.7,98,28.6
IN-171,Warren County,Indiana,32.7,4.1,99,28.6
IN-173,Warrick County,Indiana,39.4,4.5,107,34.9
IN-175,Washington County,Indiana,37.5,4.4,106,33.1
IN-177,Wayne County,Indiana,34.1,4.3,103,29.8
IN-179,Wells County,Indiana,32.8,4.2,102,28.6
IN-181,White County,Indiana,31.8,3.9,97,27.9
IN-183,Whitley County,Indiana,32.2,4.4,105,27.8
IA-001,Adair County,Iowa,29.6,5.6,110,24
IA-003,Adams County,Iowa,30,5.3,107,24.7
IA-005,Allamakee County,Iowa,24.7,4.3,97,20.4
IA-007,Appanoose County,Iowa,31.6,4.9,105,26.7
IA-009,Audubon County,Iowa,28.6,5.8,111,22.8
IA-011,Benton County,Iowa,28.2,5.6,109,22.6
IA-013,Black Hawk County,Iowa,27.9,6.5,109,21.4
IA-015,Boone County,Iowa,28.3,5.7,110,22.6
IA-017,Bremer County,Iowa,26.4,6.1,108,20.3
IA-019,Buchanan County,Iowa,26.9,5.7,105,21.2
IA-021,Buena Vista County,Iowa,26.2,6,110,20.2
IA-023,Butler County,Iowa,26.6,6,108,20.6
IA-025,Calhoun County,Iowa,27.3,5.8,109,21.5
IA-027,Carroll County,Iowa,28.2,6.1,111,22.1
IA-029,Cass County,Iowa,29.8,5.5,112,24.3
IA-031,Cedar County,Iowa,29.3,4.9,103,24.4
IA-033,Cerro Gordo County,Iowa,25.3,6.1,109,19.2
IA-035,Cherokee County,Iowa,26.3,5.9,110,20.4
IA-037,Chickasaw County,Iowa,25.2,5.7,108,19.5
IA-039,Clarke County,Iowa,30.9,5.6,111,25.3
IA-041,Clay County,Iowa,25.4,6.2,111,19.2
IA-043,Clayton County,Iowa,25.7,4.6,99,21.1
IA-045,Clinton County,Iowa,29.3,4.7,99,24.6
IA-047,Crawford County,Iowa,28.5,6.4,111,22.1
IA-049,Dallas County,Iowa,29.7,5.6,110,24.1
IA-051,Davis County,Iowa,31.5,4.5,102,27
IA-053,Decatur County,Iowa,31.3,5.3,109,26
IA-055,Delaware County,Iowa,26.8,5.4,103,21.4
IA-057,Des Moines County,Iowa,31.7,4.7,102,27
IA-059,Dickinson County,Iowa,24.2,5.8,107,18.4
IA-061,Dubuque County,Iowa,27,4.5,98,22.5
IA-063,Emmet County,Iowa,24.1,5.6,104,18.5
IA-065,Fayette County,Iowa,25,5,99,20
IA-067,Floyd County,Iowa,25.4,5.7,103,19.7
IA-069,Franklin County,Iowa,26,6,108,20
IA-071,Fremont County,Iowa,32.8,6.1,116,26.7
IA-073,Greene County,Iowa,28.3,5.6,110,22.7
IA-075,Grundy County,Iowa,27.6,6.1,110,21.5
IA-077,Guthrie County,Iowa,29,5.6,112,23.4
IA-079,Hamilton County,Iowa,26.8,5.4,107,21.4
IA-081,Hancock County,Iowa,25,5.7,105,19.3
IA-083,Hardin County,Iowa,27.3,6.1,110,21.2
IA-085,Harrison County,Iowa,30,6.2,114,23.8
IA-087,Henry County,Iowa,31,4.3,97,26.7
IA-089,Howard County,Iowa,24.2,5.8,104,18.4
IA-091,Humboldt County,Iowa,25.7,4.9,103,20.8
IA-093,Ida County,Iowa,27.5,6.2,112,21.3
IA-095,Iowa County,Iowa,29.5,5.7,109,23.8
IA-097,Jackson County,Iowa,28.4,4.6,100,23.8
IA-099,Jasper County,Iowa,29.8,5.8,109,24
IA-101,Jefferson County,Iowa,30.6,4.3,96,26.3
IA-103,Johnson County,Iowa,29.9,5.5,107,24.4
IA-105,Jones County,Iowa,27.9,4.9,102,23
IA-107,Keokuk County,Iowa,30.5,5.6,107,24.9
IA-109,Kossuth County,Iowa,24.5,5.2,104,19.3
IA-111,Lee County,Iowa,31.7,3.5,91,28.2
IA-113,Linn County,Iowa,28.8,6,110,22.8
IA-115,Louisa County,Iowa,31.8,5.5,108,26.3
IA-117,Lucas County,Iowa,31.1,5.4,107,25.7
IA-119,Lyon County,Iowa,24.8,5.9,108,18.9
IA-121,Madison County,Iowa,30.5,5.7,111,24.8
IA-123,Mahaska County,Iowa,30.8,5.6,106,25.2
IA-125,Marion County,Iowa,31,5.3,108,25.7
IA-127,Marshall County,Iowa,28.6,6,110,22.6
IA-129,Mills County,Iowa,31.5,5.6,112,25.9
IA-131,Mitchell County,Iowa,24.4,5.8,105,18.6
IA-133,Monona County,Iowa,29.2,6.4,114,22.8
IA-135,Monroe County,Iowa,31.6,5.4,106,26.2
IA-137,Montgomery County,Iowa,30.7,5.5,109,25.2
IA-139,Muscatine County,Iowa,30.6,4.9,104,25.7
IA-141,O&#039;Brien County,Iowa,25.4,6,111,19.4
IA-143,Osceola County,Iowa,24,5.5,107,18.5
IA-145,Page County,Iowa,31.8,5.9,114,25.9
IA-147,Palo Alto County,Iowa,24.8,5.4,103,19.4
IA-149,Plymouth County,Iowa,26.9,6.1,108,20.8
IA-151,Pocahontas County,Iowa,25.9,5.2,107,20.7
IA-153,Polk County,Iowa,30.1,5.6,107,24.5
IA-155,Pottawattamie County,Iowa,30.1,5.2,108,24.9
IA-157,Poweshiek County,Iowa,29.4,5.9,112,23.5
IA-159,Ringgold County,Iowa,30.9,5.4,108,25.5
IA-161,Sac County,Iowa,27.3,6.1,111,21.2
IA-163,Scott County,Iowa,30.3,5,103,25.3
IA-165,Shelby County,Iowa,29,5.7,110,23.3
IA-167,Sioux County,Iowa,26,6.2,110,19.8
IA-169,Story County,Iowa,28.6,5.9,109,22.7
IA-171,Tama County,Iowa,28.3,5.9,110,22.4
IA-173,Taylor County,Iowa,31,5.6,110,25.4
IA-175,Union County,Iowa,30.2,5.4,107,24.8
IA-177,Van Buren County,Iowa,31.1,3.6,93,27.5
IA-179,Wapello County,Iowa,31.6,5.4,107,26.2
IA-181,Warren County,Iowa,30.9,5.4,108,25.5
IA-183,Washington County,Iowa,30.9,5.6,108,25.3
IA-185,Wayne County,Iowa,31.3,5.1,106,26.2
IA-187,Webster County,Iowa,26.8,5.3,105,21.5
IA-189,Winnebago County,Iowa,24.4,5.8,106,18.6
IA-191,Winneshiek County,Iowa,25,5.9,103,19.1
IA-193,Woodbury County,Iowa,28.2,6.3,113,21.9
IA-195,Worth County,Iowa,24.4,5.9,105,18.5
IA-197,Wright County,Iowa,25.7,5.4,105,20.3
KS-001,Allen County,Kansas,39.2,5.1,119,34.1
KS-003,Anderson County,Kansas,37.4,4.2,108,33.2
KS-005,Atchison County,Kansas,35.2,5.3,115,29.9
KS-007,Barber County,Kansas,41,7.1,128,33.9
KS-009,Barton County,Kansas,37.2,5.9,123,31.3
KS-011,Bourbon County,Kansas,39.1,4.7,112,34.4
KS-013,Brown County,Kansas,34.3,5.5,115,28.8
KS-015,Butler County,Kansas,39.6,6.4,125,33.2
KS-017,Chase County,Kansas,37.5,5.6,117,31.9
KS-019,Chautauqua County,Kansas,41.1,5.6,123,35.5
KS-021,Cherokee County,Kansas,41.5,5.1,117,36.4
KS-023,Cheyenne County,Kansas,38.1,9.1,130,29
KS-025,Clark County,Kansas,40.3,6.1,126,34.2
KS-027,Clay County,Kansas,36.3,6.2,121,30.1
KS-029,Cloud County,Kansas,36,6.3,123,29.7
KS-031,Coffey County,Kansas,38.4,5.6,120,32.8
KS-033,Comanche County,Kansas,40.3,6.5,126,33.8
KS-035,Cowley County,Kansas,41.3,6.6,126,34.7
KS-037,Crawford County,Kansas,40.1,4.7,112,35.4
KS-039,Decatur County,Kansas,36,7.6,129,28.4
KS-041,Dickinson County,Kansas,37.6,6.6,124,31
KS-043,Doniphan County,Kansas,35.3,5.7,115,29.6
KS-045,Douglas County,Kansas,37.2,5.3,115,31.9
KS-047,Edwards County,Kansas,38.3,6.1,125,32.2
KS-049,Elk County,Kansas,40.2,5.6,121,34.6
KS-051,Ellis County,Kansas,36.8,6.1,125,30.7
KS-053,Ellsworth County,Kansas,37.9,6.7,125,31.2
KS-055,Finney County,Kansas,38,6.9,128,31.1
KS-057,Ford County,Kansas,38.8,6.3,125,32.5
KS-059,Franklin County,Kansas,37.5,4.9,115,32.6
KS-061,Geary County,Kansas,36.9,6.2,121,30.7
KS-063,Gove County,Kansas,38.1,7.8,128,30.3
KS-065,Graham County,Kansas,35.8,5.8,123,30
KS-067,Grant County,Kansas,39.1,6.8,128,32.3
KS-069,Gray County,Kansas,38.2,6.3,125,31.9
KS-071,Greeley County,Kansas,37.6,7.8,127,29.8
KS-073,Greenwood County,Kansas,39.2,5.9,120,33.3
KS-075,Hamilton County,Kansas,38.7,7.5,128,31.2
KS-077,Harper County,Kansas,41.5,7.1,128,34.4
KS-079,Harvey County,Kansas,39.1,6.5,125,32.6
KS-081,Haskell County,Kansas,38.7,6.6,127,32.1
KS-083,Hodgeman County,Kansas,38.4,6.3,125,32.1
KS-085,Jackson County,Kansas,34.6,5,112,29.6
KS-087,Jefferson County,Kansas,35.7,5,113,30.7
KS-089,Jewell County,Kansas,35,6.8,125,28.2
KS-091,Johnson County,Kansas,37.5,5.6,119,31.9
KS-093,Kearny County,Kansas,38.3,7.2,128,31.1
KS-095,Kingman County,Kansas,40.2,6.8,127,33.4
KS-097,Kiowa County,Kansas,38.9,6,124,32.9
KS-099,Labette County,Kansas,41.3,5,117,36.3
KS-101,Lane County,Kansas,38.2,7.7,128,30.5
KS-103,Leavenworth County,Kansas,36.5,5.4,116,31.1
KS-105,Lincoln County,Kansas,37.5,7.2,127,30.3
KS-107,Linn County,Kansas,37.5,3.9,105,33.6
KS-109,Logan County,Kansas,38.6,8.5,129,30.1
KS-111,Lyon County,Kansas,38.1,6.3,122,31.8
KS-113,McPherson County,Kansas,38.5,6.9,126,31.6
KS-115,Marion County,Kansas,37.8,6,122,31.8
KS-117,Marshall County,Kansas,34.3,5.7,118,28.6
KS-119,Meade County,Kansas,40,6.2,125,33.8
KS-121,Miami County,Kansas,37.8,5.1,116,32.7
KS-123,Mitchell County,Kansas,36.1,6.6,125,29.5
KS-125,Montgomery County,Kansas,41.2,5.1,121,36.1
KS-127,Morris County,Kansas,37,6.1,118,30.9
KS-129,Morton County,Kansas,40.7,7.2,128,33.5
KS-131,Nemaha County,Kansas,33.8,5.3,114,28.5
KS-133,Neosho County,Kansas,40.4,5.3,120,35.1
KS-135,Ness County,Kansas,37.8,6.4,126,31.4
KS-137,Norton County,Kansas,34.8,6.2,122,28.6
KS-139,Osage County,Kansas,37.4,5.6,117,31.8
KS-141,Osborne County,Kansas,36.2,6.5,126,29.7
KS-143,Ottawa County,Kansas,37.4,7,125,30.4
KS-145,Pawnee County,Kansas,37.6,6,125,31.6
KS-147,Phillips County,Kansas,35.2,6.4,125,28.8
KS-149,Pottawatomie County,Kansas,35.1,5.3,116,29.8
KS-151,Pratt County,Kansas,39.1,6.4,124,32.7
KS-153,Rawlins County,Kansas,37.5,8.7,130,28.8
KS-155,Reno County,Kansas,39,6.3,127,32.7
KS-157,Republic County,Kansas,34.7,6.4,121,28.3
KS-159,Rice County,Kansas,38,6.2,126,31.8
KS-161,Riley County,Kansas,36,5.9,120,30.1
KS-163,Rooks County,Kansas,35.8,5.8,120,30
KS-165,Rush County,Kansas,37.2,6,124,31.2
KS-167,Russell County,Kansas,37.6,6.9,127,30.7
KS-169,Saline County,Kansas,38.2,7.1,127,31.1
KS-171,Scott County,Kansas,38.3,7.9,128,30.4
KS-173,Sedgwick County,Kansas,40.3,6.7,126,33.6
KS-175,Seward County,Kansas,40,6.5,127,33.5
KS-177,Shawnee County,Kansas,36.1,5.1,113,31
KS-179,Sheridan County,Kansas,36.7,7.4,129,29.3
KS-181,Sherman County,Kansas,38.1,9.1,129,29
